PS4をバッテリー＆ディスプレイ一体型の携帯ゲーム機に魔改造してしまった猛者が登場,https://gigazine.net/news/20210104-playstation-4-mobile/
ビットコインの価格が350万円を突破、1年で価格は4倍に,https://gigazine.net/news/20210104-bitcoin-break-34000-dollars/
寒い中で運動すると「脂肪の燃焼効率が上がる」という研究結果,https://gigazine.net/news/20210104-exercising-in-cold-burn-more-fat/
「管理者権限でログインできるバックドアアカウント」が10万台以上のZyxel製ネットワーク機器で見つかる,https://gigazine.net/news/20210104-zyxel-backdoor-account/
macOS向けスリープ防止ソフト「アンフェタミン」をAppleがガイドライン違反扱いする事態が発生,https://gigazine.net/news/20210104-amphetamine-stay-in-app-store/
「つららを食べるのは鳥のフンを食べるのと同じ」と気候学者が警告,https://gigazine.net/news/20210104-eating-icicle-licking-bird-poop/
世界最大のゲーム会社テンセントのゲームがHuawei公式のアプリストアから削除される,https://gigazine.net/news/20210104-tencent-games-removed-huawei-app-store/
Facebookの広告責任者が退職したことが判明,https://gigazine.net/news/20210104-facebook-chief-leaves-company/
「ONE PIECE」が連載1000話を達成、第1回世界人気投票などの記念企画が続々開催,https://gigazine.net/news/20210104-one-piece-1000-logs/
ソニーがPS4の複数モデルを生産終了予定であることが明らかに,https://gigazine.net/news/20210104-discontinue-multiple-ps4-models/
GitHubのサービスを駆使してウェブサイトの死活監視が無料で行える「Upptime」,https://gigazine.net/news/20210104-upptime/
世界で2番目に高価なスパイスであるバニラ栽培の歴史,https://gigazine.net/news/20210104-history-vanilla-madagascar/
作物をAIで管理して室内で育てる「垂直農場」は何が優れているのか?,https://gigazine.net/news/20210104-plenty-vertical-farm/
なぜ複雑なシステムでは障害が発生しやすいのか,https://gigazine.net/news/20210104-complex-system/
無料で色々なWebサービスを1カ所で管理できるツール「Slapdash」を使ってみた,https://gigazine.net/news/20210103-slapdash/
食パンに塗るだけでカレーパンが完成するという「ぬって焼いたらカレーパン」は本当にカレーパンなのか確かめてみた,https://gigazine.net/news/20210103-curry-pan-toast/
1つのパスワードさえ覚えておけばブラウザ・スマホでパスワード管理ができる「Passit」レビュー,https://gigazine.net/news/20210103-passit/
ロシア政府の支援を受けるハッキンググループによるアメリカ政府機関へのサイバー攻撃「Solorigate」は当初の予想以上の被害規模の可能性,https://gigazine.net/news/20210103-solarwinds-hack-worse-originally/
無料でスマホで遊べる少年が家族を救うために時を超え過去を改変するアドベンチャー「忘れないで、おとなになっても。」プレイレビュー,https://gigazine.net/news/20210103-wasurenaide-otonaninattemo/
無料でKeePass上のアカウントから直接リモートデスクトップ接続を行える「KeePassRDP」レビュー,https://gigazine.net/news/20210103-keepassrdp/
無料で物理演算による物質の相互反応を楽しめる箱庭ゲーム「The Powder Toy」で遊んでみた,https://gigazine.net/news/20210103-the-powder-toy/
WHOが「世界の死因トップ10」を発表,https://gigazine.net/news/20210103-who-top-10-death-causes/
ルービックキューブの解き方をワンクリックで見せてくれる「Rubik’s cube」,https://gigazine.net/news/20210103-rubiks-cube-solver/
